"tweet_text","topic"
"@united if your policy changed, you must advise at the time of purchase.  Same if you choose to vary it by airport!  We want a FULL refund!!","USair"
"@united - #epicfail from a former gate agent in PIA!  He walked away and quit! Luckily a responsible PIA agent saved the day!","USair"
"@united is there a referral program for the Milageplus explorer card?","USair"
"@USAirways is the worst. I have to pay $200 just to NOT take my first flight in a round trip! Otherwise they'll Cancelled Flight my whole flight.","USair"
"@southwestair How can I refer a friend for the Southwest Credit card for points?","USair"
"@JetBlue  if only the show was on the flight.  No ABC.  Oh well.  I'll live.  #nexttime #andthewinneris...","USair"
"@JetBlue I fly w/u as much as I can, however your kiosks were broken in SYR and there was 1 woman working the ticket counter.. She had a","USair"
"@SouthwestAir in flight wifi + @TMobile wifi calling makes for the best combination. Who doesn't love texting 40,000 feet in the air :D","USair"
"@USAirways I gave up http://t.co/2eDgc6TbLs","USair"
"@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER","USair"
"@united Just submitted my response on the link you sent.","USair"
"@AmericanAir sorry so Late Flight, responded to your DM.","USair"
".@united Not what's been shared by the pilot with passengers!","USair"
"@united Flight 512 had sime of the rudest flight attendants. I was run over by the drink card and had a flashlight dropped on me. #noapology","USair"
"@USAirways there's over 50 people in line and only one agent!","USair"
"@SouthwestAir @love_dragonss LAUREN IM SCREAMING","USair"
"@SouthwestAir Thanks for the text, but not exactly timely 8). Data throughout issues today maybe? http://t.co/aaU9MKA6Zy","USair"
"@USAirways i have been patient.. especially the first time. i will never fly with you again","USair"
"@AmericanAir I let a crew member know every time this happens.  Which is most of the time.","USair"
"@JetBlue okayyyy. But I had huge irons on way out. Promise no shenanigans?","USair"
"@USAirways I respect the stress of a merger but one rep to reschedule/replane 15 ppl who are already Late Flight? #youcandobetter","USair"
"@USAirways I will NEVER fly us airways or american again and I will share this nightmare of a story to all the many others we know who fly","USair"
"@AmericanAir your planes made me miss 2 connections in 2 days. Thanks for nothing","USair"
"@USAirways Why is my ""first available"" flight for me now Tuesday but a flight today  that is ""booked ""#flt 755 available to buy online?","USair"
"@SouthwestAir Thanks I just sent a DM with this info.","USair"
"@united Is flight 746 going to sit on the tarmac FOREVER?????????","USair"
"@USAirways Will tweet all day until I get 
a live cust rep. I will make sure the world knows you don't care about your customers health.","USair"
"@southwestair Thanks. Yes I got through. Biggest frustration is that I'm no longer able to check in online for my flight after 4 Cancelled Flights.","USair"
"@USAirways customer service at its best! Rachel S.  took great care of us at the PHX airport. http://t.co/HG7vEqhGHy","USair"
"@SouthwestAir won't let me send a DM because they don't follow me.. #lovedflyingwiththem #notanymore #wrong #badpolicy","USair"
"@USAirways it was supposed to be a carry on and in Pittsburgh  coming to Boston it was a carry on","USair"
"@united This is the 2nd time I was rebooked (w/delays), and for reasons unreLate Flightd to weather. How do I go about requesting a flight voucher?","USair"
"@AmericanAir is flight 2413 to LA delayed?","USair"
"@united From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.","USair"
"@AmericanAir first the pilot, then the catering...","USair"
"@SouthwestAir fyi the link in your baggage incident email redirects to a 404 on mobile. The link auto changes on mobile. Desktop works fine.","USair"
"@USAirways pure anarchy on flight 555 to SLC. People walking in with nothing packed in bags with arms full of stuff. #getittogether","USair"
"@USAirways what is the damn delay????","USair"
"@AmericanAir #AmericanView
The view of Oregon from seat 31F, flight AA1469 2/22/15 http://t.co/t9JBN9WZtq","USair"
"@SouthwestAir Weather seriously cannot even be the only excuse at this point because it was awful service in the summer too. Over it.","USair"
"Great management of @USAirways twitter account. Thank you.","USair"
"@JetBlue flight delayed 3x(!) and still not taking off on time, &amp; greeting me at my seat (yes it's gum &amp; garbage): http://t.co/n9hmcrJChb","USair"
"@SouthwestAir 2/22-MDW 2 SAN flt 1687 attendant Melissa was awesome! Fast, smiling, great. After weather Cancelled Flight day b4, it was welcome","USair"
"@united ""federal regulation prohibits you being separated from your bag""...yet you lose our bag and that's okay","USair"
"@united When are you coming back to @IFlyOAKland? You have a huge East Bay customer base due to SFO and *I* miss you!","USair"
"@usairways I just learned that although there is travel policy and they waive the change fee-you will still be charged a $25 reservation fee","USair"
"@JetBlue I guess I have to redo the Flight Booking Problems. Ugh!","USair"
"@USAirways @Sb5551 Um, WE knew this storm was coming, ? Is why didn't USeless Air?  Staff accordingly u idiots!","USair"
"@USAirways three hour wait and counting waiting for reservations on the phone. Are you serious!?","USair"
"@AmericanAir guys 5350 in dfw  stuck at the gate for half an hour.  Do we pull the slide or what?","USair"
"@AmericanAir thanks!","USair"
"@AmericanAir lovely flight back from MIA to LHR - great crew - thanks :-))","USair"
"@united flight just Cancelled Flightled. This is ridiculous","USair"
"@AmericanAir #americanview New paint scheme looks great! #usairways http://t.co/Gt6umHbh43","USair"
"@JetBlue Done! Also looks like you opened some up on my flight to Vegas on Sunday! _Ÿ’™","USair"
"@United Adopting 2 yr old child from Ethiopia. Flying from ADD to GRR on 2/28.  Need to add child to reservation and get costs.  Help!  Thx","USair"
"@usairways im trying to get my dads wheelchair and no one is answering at Dulles.we have tried to call back on.multiple times","USair"
"@USAirways why the hell u left *alliance and joined 1world is beyond me not a smart move time to start looking at other carriers","USair"
"@USAirways thank u i wiil write after call  travel agency","USair"
"@united Any luck with finalizing my reservation? I DM'd information to you. Please let me know what else you need. Want to confirm ASAP. Thx","USair"
"@AmericanAir work on the comm skills w hate agents at PHX. Said I was confirmed on flight out of DFW &amp; got here and that was only standby.","USair"
"@united I just need to get to RIC tonight. I've been in EWR for 24hrs now.","USair"
"@united booked a flight yesterday, appeared in my account + confirm email but since a few hours all disappeared and err ""no segment in this""","USair"
"@USAirways thanks for the seat that doesn't recline. I'm shocked I'm not being asked to serve everyone drinks on the plane.  #DoBetter","USair"
"@AmericanAir the food served on AA2402 was vile and gross.The entire cabin did not eat their meal. Survey the flight crew. Another gross out","USair"
"@SouthwestAir aren't you based in Chicago? Why are you doing a hunt in LA and not your home city????!! Please bring one home","USair"
"@SouthwestAir please please please answer the phone. . .","USair"
"@JetBlue can we get a honest update on departure of flite 454. Been on plane with infant children","USair"
"@united flight 5903 stranded on Tarmac in Chicago. No gates available?! Plane getting very hot and uncomfortable.","USair"
"@JetBlue its a wonderful thing!","USair"
"@USAirways thank you.","USair"
"@USAirways sits on a throne of lies","USair"
"@united what is this subtlety gate changes? Are you kidding with me?","USair"
"@USAirways technical issues = inefficient computer triage system. Personality/ compassion of operators = not. Sad example of sad company.","USair"
"@united I see several economy plus can you put us in those. We don't have to be seated together","USair"
"@SouthwestAir I have a child traveling cross country...she's 11 will be turning 12 in march...and (cont) http://t.co/Enh1keUUTd","USair"
"@united Yeah, I tried that about 10 times for two different tickets, and it told me to ""Try again Late Flightr"".","USair"
"@USAirways good work by flight 1798 crew.  #Chairman's recognition even in coach.  Too many #missedupgrades Late Flightly.  What's up with this?","USair"
"@united I am VERY disappointed with @SilverAirways as your partner. No communication, 2 extremely Late Flight flights. Really, all around horrible.","USair"
"@usairways  US1799 CLT-&gt;SFO in first no desert, no snack basket. Incoming was on time ? Whatâ€™s up?","USair"
"@AmericanAir Thanks! Bleh, disconnected! Let's try this again!!","USair"
"@united no they did not want to deliver at my house. Had to go to sombrons else house","USair"
"@united They finally gave in a let him on. After they threatened to send him back to Vegas on coach. Thnx.","USair"
"@united ruined my day &amp; start trip SFO to GIG. both legs changed, lost my paid upgrade &amp; 200 1st class seat &amp; moved me from Econ + to Econ","USair"
"@united Hi, Im flying SFO-LAX-SAL-CLO. My connecting time in LAX is 1h45m. Is it enough time? Do I have to collect my bag and recheck on AV?","USair"
"@USAirways hundreds of people in line and less than half the desks being manned at CLT. Help?","USair"
"@USAirways gate agents are now working with everyone to resolve connecting flight issues which is my concern","USair"
"@USAirways takes my money at once but then requires 7 to 10 days to process a refund? Why does your auto attendant hang up? #usairwaysfail","USair"
"@AmericanAir but my friend was told she was able to use her credit with the airline towards one of my flights, then was told she couldn't.","USair"
"@united If United loses your baggage they will get it to the airport in the country your in and then it disappears!","USair"
"JetBlue reading the NYTimes. â€œ@JetBlue: Our fleet's on fleek. http://t.co/lvIrTDtqlyâ€ù","USair"
"@USAirways Many thanks for your reply! http://t.co/6CGFv02gzb","USair"
"@JetBlue I knew the 3-4 hours sounded odd; missed a flight we hit JFK an hour early for and your gate  attendant told us 3-4 :(","USair"
"@AmericanAir when will you be issuing a weather advisory for RDU?? the entire state of NC has shut down from the overnight winter storm.","USair"
"@AmericanAir I understand they're busy &amp; doing their best. My frustration is an automated call changing my flight w/o allowing me to talk","USair"
"@SouthwestAir the new logo is going to look amazing on the airplanes","USair"
"@united Has it departed? I was awaiting an inbound plane yesterday for three hours and it never arrived. Had to stay overnight (again).","USair"
"@USAirways I am in meetings in California and have no luggage!!","USair"
"@SouthwestAir don't ever tweet me again","USair"
"@AmericanAir I've been trying to call your reservations desk for past 12 hours and can't get through.  This is not what I expected.","USair"
"@United says we had a weather delay in #YXE this morning. The ""weather"" didn't affect any other airline. #UA6136 http://t.co/4JdvK8tCqx","USair"
"@USAirways thank you! You have always been so good to me. I will follow up.","USair"
"@united delayed agAin by United. Gate agent was borderline rude when I asked her a flight status question. What is happening to United?","USair"
"@SouthwestAir thanks to Ella-Mae at LAS counter for going above and beyond to help us get back to ABQ after our flight was Cancelled Flightled!","USair"
"@SouthwestAir well I HAD a car &amp; free place 2 stay had I known Unacceptable treatment from Spvsr. Sally in Cleveland. #Disappointed","USair"
"@USAirways ...YOU ARE DESPICABLE! The flight plan was lost! Now we've been sitting on the tarmac for an hour! Its a 45 min flight!","USair"
"@JetBlue Love your airline...hate your website.  Just tried to book 2 tickets (1 w miles, 1 w/out).  Absolute joke.   Needs a lot of work!","USair"
"@SouthwestAir Today is going to be the day, I can feel it!  Thank y'all for your support throughout! We're coming home Nashville! #Octavia","USair"
"@united Confirmation number: NJV4BP - All I need is email confirmation of flight from NYC - SFO Feb 4","USair"
"@AmericanAir  is the worst airline to ever travel with!!!! The worst!! They're equivalent to DIRT!!!!!!","USair"
"@united whats UA 1205 lax - newark ??","USair"
"@united if u miss first leg of ur flight, you have to pay hundreds of $'s just to keep your second leg? How much to keep my earned miles?","USair"
"@united no, we still have not heard anything from anyone at @united or the @ErieAirport","USair"
"@SouthwestAir flight 3970, bna-rdu had the most excellent crew today","USair"
"@AmericanAir Just called regarding my bag, came in yesterday and no one notified more or updated the online record locator #customerservice","USair"
"@SouthwestAir Heard apology ~45 times in the &gt;60 mins I was on hold. Now flying from another airport at a different time but delayed AGAIN","USair"
"@JetBlue I did.... Would be nice to see more services out of @triflight instead of having to drive 3-4 hrs to like charlotte or atlanta","USair"
"@SouthwestAir   Thanks","USair"
"@SouthwestAir this would be an awesome experience #DestinationDragons","USair"
"@JetBlue Airways Hits New 12-Month High at $17.58 (JBLU) - WKRB News http://t.co/XvBjCzlMDA","USair"
"@USAirways #Unbelievable that for 2 consecutive days I can't get through to a person.  On hold over 2 hours and still going","USair"
"@USAirways been on hold for 45 minutes. Is there a better time to call? This is getting ridiculous","USair"
"@united refreshes my browser right before checkout.error load message. Ticket price increased $358 in a matter of sec. DoUNotWantMyBusiness?","USair"
"@SouthwestAir Incredible view! I had a smooth flight both ways even tho there was turbulence. Your pilots ROCK! http://t.co/3nsUSfSBPv","USair"
"@AmericanAir how can I get you guys to respond to my tweets and DM??? Really sad feeling to be ignored.","USair"
"@united as a 1k, I'm always hoping for improvement.","USair"
"@USAirways: u didn't bother following up, we booked with @Delta.  @Delta understands cust srv: provided lunch 4 delays &amp; upgraded seats!","USair"
"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help_Ÿ˜ç
_Ÿ’—_Ÿ‡¬_Ÿ‡§_Ÿ’—_Ÿ‡º_Ÿ‡¸_Ÿ’—
_Ÿ_€_ŸŒè_Ÿ_€ http://t.co/UJfS9Zi6kd","USair"
"@AmericanAir Here is the photo ;) http://t.co/VMqUURZUpW","USair"
"Why doesn't @AmericanAir allow for conversations between upset customers and their customer service?  #worstcustomerserviceever","USair"
"@AmericanAir why a different airport! I have no way of getting to a different airport.","USair"
"@AmericanAir DONE!! thank you so much!!","USair"
"@USAirways can you explain why I am on hold over an hour .Other than I'm dumb and should be using a different airline #wth","USair"
"@JetBlue I like "" Follow @JetBlue ""","USair"
"@AmericanAir my understanding is they were able and did for many other flights but chose not to for this one.","USair"
"@JetBlue I âù_ï¸è Jetblue but i was on flt 277 from fll to sfo. tke off was over 1 hr Late Flight, div to phx &amp; got in 2 hrs Late Flight. What will be done?","USair"
"@USAirways worked w/ Tiffany H at cust service desk in Charlotte and she was helpful and patient. Still stuck, but she was great.","USair"
"@united thank you for letting me down.My luggage is still in Denver but I'm in Phl. #neveragain #flyingwithUS #disappointed #lostacustomer","USair"
"@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.","USair"
"@AmericanAir Any info for Cancelled Flightled flight 1046 tomorrow morning out of DFW? Can't get calls through to speak with anyone.","USair"
"@USAirways claims flight Cancelled Flighted due to weather at destination but Delta has not Cancelled Flighted flight on same route.","USair"
"@USAirways  thank you! Glad to be heading home! Great people at your call center!","USair"
"@SouthwestAir Left my computer on the plane. Two weeks Late Flightr they found it and sent it to me. #greatservice.  #happy #customer","USair"
"@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery","USair"
"@SouthwestAir Ahah_Ÿ˜ƒ_Ÿ’•_Ÿ_µ That is why
I love SWâœˆâù—(^^)âù_","USair"
"@SouthwestAir 14 hours????  Sorry don't get it. Oh well. Screw the weekend in Az right?  Eat the hotel, no problem.","USair"
"@united ha, this happened 10 years ago. i haven't flown with you since.","USair"
"@AmericanAir because you won't get our bags for us because you said they would go on to Cincinnati even though we can't. Who exactly is","USair"
"â€œ@JetBlue: Our fleet's on fleek. http://t.co/vw2v8GVnGqâ€ù _Ÿ˜ê_Ÿ˜‘","USair"
"@SouthwestAir A+ to the Safety Dos and Don'ts Announcer. Flight 651 from Midway (MDW) to Pittsburgh (PIT)!","USair"
"@SouthwestAir I paid for inflight wifi only for it not to work. Download speed was 0.21mbps &amp; I ended up watching the free TV instead.","USair"
"@USAirways stuck in cae need reFlight Booking Problems for next flight possibly dm for more info","USair"
"@united Brothers luggage was lost on Copa Airlines Flight 635. He's competing Sunday for the 2015 Panamerican Cross Country Cup. Please help","USair"
"@AmericanAir Hey you Cancelled Flightled my flight, and I can't get someone on the phone to rebook (2 hour wait minimum). Can I get some service?","USair"
"@USAirways US 728/Feb 21 Kim Y says: leaving on 15 minutes once paperwork is done. Wheels up ~ 1.5 hours Late Flightr.","USair"
"@JetBlue formally requests @LBAirport and @LongBeachCity to establish customs facilities for international flights http://t.co/jByVMsOd29","USair"
"@SouthwestAir schedule is open through the end of October, got Columbus day wknd in New England for ~50K points for 4! Check your calendar!","USair"
"@USAirways Instructions say to CALL. I'm just doing what it said to do.","USair"
"@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.","USair"
"@USAirways never received such horrible service or treated so poorly as Richard P. today. No excuse for attitude &amp; ripping up our tickets!","USair"
"@VirginAmerica, I submitted a status match request a while back and still havenâ€™t heard! Iâ€™m flying on Monday. Can you look / accelerate?","USair"
"@AmericanAir  I have still not talked to anyone. You guys should be prepared for these situations. How is this good service? I am so mad!!!","USair"
"@united officially has the most inefficient boarding procedure. There is no reason it should take 45 mins to board a plane!","USair"
"@AmericanAir You sent me a cheque today which canâ€™t be paid into a UK bank account. VERY annoying!","USair"
"@united yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet","USair"
"@AmericanAir Gabriela in Miami is a very rude employee.Working the MIA-LGA check In. She made experience unpleasant.  #customerexperience","USair"
"@JetBlue and of course that was supposed to say Logan, not login","USair"
"@united this is for a check-in luggage. Employee told me not to include wheels in the dimensions.","USair"
"@AmericanAir You are jumping the gun and Cancelled Flighting flights that could've made it before the snow. Now, more Cancelled Flightlations. It's ridiculous.","USair"
"@SouthwestAir some woman gets on plane and holds 2 seats in the bulkhead for her friends with C boarding passes. I paid $ earlybird thx","USair"
"@united  delayed about 8 hours because of missed connections due to mechanical issues on 1st flight. rebooked, but please call me 9148445695","USair"
"@USAirways - just passed the 3 hour mark #onholdwith you for THIS call.  Gave up after 2.5 this morning.","USair"
"@JetBlue ...really?","USair"
"@SouthwestAir A little surprised my Early Bird got me B15 from DEN to KC just now. Worst I've had. What's up?","USair"
"@united our flight attendant @superben was super helpful in finding a bag we left on a flight today. Excellent customer service. Name fits.","USair"
"@SouthwestAir greetings","USair"
"@united Old school ride home to LAX from Houston #flyingRetro http://t.co/6asuwx3Kv0","USair"
"@AmericanAir cannot talk to any agents keep getting hung up on crazy","USair"
"@JetBlue At what time?  All these passengers were sitting on a hot plane with no air and no communication for over 2 hours. Just wrong","USair"
"@united I am. Who knows where my bags are. Do I just wait around and hope they arrive? No one has answers, I have plans and no answers....","USair"
"@AmericanAir can lie to you about where your lost bag is, but we are suppose to trust them with our lives thousands of feet in the air...","USair"
"@united says @USAirways  is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!!","USair"
"@AmericanAir Cancelled Flights my flight, doesn't send an email, text or call. Now I'm stranded in Louisville.","USair"
"@united @highbuddyyy that totally sucks my cousin worked at PHL said @united","USair"
"@USAirways @British_Airways three hour flight delay. On the phone for 45min and counting.","USair"
"@JetBlue @NHLBruins repping the Bruins in Cleveland at Rock n Roll HOF &amp; The Christmas Story house #JetBlueBruins http://t.co/JKnWuGJ778","USair"
"@AmericanAir thank you!","USair"
"@united 6 hour mechanical delay...killing me","USair"
"@SouthwestAir yall have me sleeping in the airport until 4pm tomorrow! thanks","USair"
"@united need to chat with an actual human ASAP!","USair"
"@united Thank you! Off to LA to do something very special.","USair"
"@SouthwestAir How can you get your TSA traveler ID added to your boarding pass? Why would it not be included as TSA precheck? Flying tomorro","USair"
"@united yes at 2am...but now back on a plane again and delayed again due to baggage loading issue... http://t.co/NfAQHhr09j","USair"
"@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21","USair"
"@united I'm aware of the flight details, thanks. Three hours Late Flight a crew that could not give less of a shit","USair"
"@USAirways I was told there is no record of my refund.  Can someone please help me. This has been a long day","USair"
"@JetBlue update on Flight 462 would be appreciated when you have time, thanks","USair"
"@USAirways 799 from AMS to PHL today- 3 of 4 flight attendants were downright rude and hostile and made the 8+ hour flight even worse.","USair"
"@USAirways I'm enjoying my flights so far! You're doing a great job. Today's been tough, so thanks for making my flights comfortable.","USair"
"@USAirways - I bet you don't, but I'm the paying customer here. I know how to check for flight delays, thank you.","USair"
"@SouthwestAir THANK YOU SO MUCH YOURE AMAZING IM GOING TO CRY OMG","USair"
"@united give me an email address and I'll send the actually screen shot to you.","USair"
"@SouthwestAir make this delay go away. Maybe upgrade me and Kats seats. We are headed to Columbus.","USair"
"@USAirways flight is delayed 5 hours. No reason given. Sure love flying with your airline. #whatajoke","USair"
"@JetBlue sooo earlier i said i couldnt fly with you for my school trip but now i can! _Ÿ˜è","USair"
"@united searched for mileage tickets to BOM couldn't find a single one is saver awards - I see how you play.  Earn miles but can't use them.","USair"
"@SouthwestAir - been on hold forever. My first flight was Cancelled Flightled but my 2nd flight is still on time - HELP!","USair"
"@JetBlue and @WSJ team up offering in-flight access to journal content http://t.co/PTsbkA4cDJ","USair"
"@SouthwestAir I would be eternally grateful for tickets to the Vegas show ( Í¡Â° ÍœÊ– Í¡Â°) God bless","USair"
"@united had been suffering immensely ever since this merge .. Hopefully I'll never have to fly @united ever again ..","USair"
"@AmericanAir leaving over 20 minutes Late Flight. No warnings or communication until we were 15 minutes Late Flight. That's called shitty customer svc","USair"
"@SouthwestAir offering us absolutely nothing for our troubles either. Blames the @TSA","USair"
"@united don't know if you are aware that ALL of your premier access lines are closed in your terminal. I feel the love.","USair"
"@SouthwestAir @FortuneMagazine 
great news.","USair"
"@USAirways headed to NYC from CLT. Funny to hear all phones ring at once and then the entire plane groan (has happened twice more).","USair"
"@VirginAmerica missed my flight. How does standby work?","USair"
"@united #1007 Houston-Bogota boarding again, safety first, it seems the mechanics fixed the problem faster, good energy to fly home/family","USair"
"@USAirways download jeokoo the American app for air travelers","USair"
"@SouthwestAir hey southwest! Can I see @Imaginedragons in Atlanta? My friend has never been there, loves them, and he is from Taiwan!","USair"
"@JetBlue your agent told us TSA didn't have a crew to get bags!","USair"
"@united Please consider letting flyers with no overhead bin items board/deplane first (after first class). Make sense?","USair"
"@SouthwestAir My bag was not shown LUV did not make it to PHL with me.","USair"
"@AmericanAir Thanks! Great stuff! I can only imagine how jammed everything is.","USair"
"@AmericanAir you could train your flight attendants to have some manners and decency","USair"
"@AmericanAir your cabin 'thank you' message reminds people about having choices when they fly. I will be choosing another airline next time.","USair"
"@AmericanAir Thank you for the worst experience ever on an airline, from me to you, I hope your embarrassed as an airline. Pathetic","USair"
"@united How do you have a scheduled flight WITH NO CREW? Is there a competent person working at this airline?","USair"
"@SouthwestAir due to an apparent water issue that checked out fine during the checks my husband and I already had to deal with our first","USair"
"@USAirways I have nothing but issues when I fly w/u what's up w/that?! #travel #vacation #awful","USair"
"@united yes refund my ticket and give me email address to let u know what happened","USair"
"@united no u don't","USair"
"@AmericanAir worst experience of my life avoid at all costs they will lose your belongings and have no humanity to even offer compensation","USair"
"@united Flight 395. Rolling delay of 1 hour 42 minutes","USair"
"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.","USair"
"@united thx for update","USair"
"@SouthwestAir your hold music sounds like it's from Super Mario Bros for gameboy color","USair"
"@SouthwestAir I'm on the 10:55 flight! Everyone has been so nice and helpful! I'm just hoping we'll get to fly out! Thank you! ;)","USair"
"@JetBlue 795 to Austin","USair"
"@united how can a plane that has been sitting in a hanger all day have numerous mechanical problems. Doesn't anyone actually do maintenance","USair"
"@AmericanAir Okay, I think 1565 has waited long enough for a gate at DFW...","USair"
"@USAirways you told us last night that there was a ground stop at O'Hare FOUR HOURS AFTER Obama landed, stop blaming someone else","USair"
"@SouthwestAir like kelsey said, really bad spot for locals. Do you know how long it takes to find parking then walking over to the bellagio?","USair"
"@SouthwestAir you have let me down! #oversold #earlybirdmeansnothing","USair"
"@united a rapid trip plane ticket from Idaho to California that doesn't have problems would be wonderful","USair"
"@AmericanAir Priority baggage evidently means it comes out last","USair"
"@AmericanAir don't see response!","USair"
"@SouthwestAir finally boarded. Looks like I'll make it to my final destination but my baggage won't # baggagefail #bagsflyfreebutnotwithme","USair"
"@united Thanks for the reply. The box is not mine and I'm not missing one. It was added to my bag ....","USair"
"@united, more lies... http://t.co/BEqoTLNugc","USair"
"@united I send an email about my bad experience and you send back a generic response.  Yet another reason why I'll never fly with you again.","USair"
"@AmericanAir @dotnetnate Two hour wait for EXPs as I sit on a JFK PHX flight because US computers are down. Any shot at an LAX flight?","USair"
"@USAirways US 728/Feb 21 Hour 6 on plane when US Airways representative Kim Y enters deteriorating picture. Unhelpful with no assurances.","USair"
